"artistURI","objectURI","artworkTitle","birthDate","deathDate","dateOfStartOfCreation","dateOfEndOfCreation","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artistAppellationURI","artistName","creditLine"
"","","Portrait of a Gentleman","1788","1844","1820?","1820?","2 3/4 x 2 1/4 in. (7 x 5.7 cm)","","Watercolor on ivory in gold locket","","Paintings","","American","","Nathaniel Rogers","Gift of Ms. Judith Hernstadt, 2001"
"","","The Coal Loader","1880","1973","1909","1909","H. 23, W. 18 inches (58.4 x 45.7 cm.)","","Gouache on paper","","Drawings","","American","","C. K. Chatterton","Gift of Mrs. John M. Van de Water, 1982"
"","","Homage to the Square: Enfolding","1888","1976","1965","1965","H. 24, W. 24 inches (61 x 61 cm.)","","Oil on Masonite","","Paintings","","MetDoesntKnow","","Josef Albers","Gift of the artist, 1969"
"","","Portrait of the Artist","1783","1872","1821","1821","17 1/8 x 14 in. (43.5 x 35.6 cm)","","Oil on canvas","","Paintings","","American","","Thomas Sully","Gift of Mrs. Rosa C. Stanfield, in memory of her father, Henry Robinson, 1894"
"","","George Washington","1778","1860","1846?","1846?","36 x 29 in. (91.4 x 73.7 cm)","","Oil on canvas","","Paintings","","American","","Rembrandt Peale","Bequest of Frances Mead, 1926"
"","","Arques-la-Bataille","1853","1902","1884?","1884?","18 1/4 x 25 7/8in. (46.4 x 65.7cm)","","Oil on canvas","","Paintings","","American","","John Henry Twachtman","Purchase, The Charles Engelhard Foundation Gift, 1991"
"","","A Rose","1851","1912","1907","1907","58 x 43 7/8 in. (147.3 x 111.4 cm)","","Oil on canvas","","Paintings","","American","","Thomas Anshutz","Marguerite and Frank A. Cosgrove Jr. Fund, 1993"
"","","Fish","1849","1916","by1910","by1910","29 x 36 in. (73.7 x 91.4 cm)","","Oil on canvas","","Paintings","","American","","William Merritt Chase","Gift of Edward G. Kennedy, in memory of William Merritt Chase, 1925"
"","","Bull's Head Tavern","1800?","1880","1870s","1870s","6 7/16 x 9 1/8 in. (16.4 x 23.2 cm)","","Oil on slate paper","","Paintings","","American","","William P. Chappel","The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
"","","Girls Carrying a Canoe, Vaiala in Samoa","1835","1910","1891","1891","17 15/16 x 21 7/8 in. (45.6 x 55.6 cm)","","Watercolor, gouache, and graphite on off-white wove paper","","Drawings","","American","","John La Farge","Purchase, Mrs. Arthur Hays Sulzberger Gift, in memory of Mr. Arthur Hays Sulzberger, 1970"
"","","White Mules on a Bridge","1869","1944","1930","1940?","24 7/8 x 30 in. (61.8 x 76.2 cm)","","Oil on canvas","","Paintings","","American","","Anne Goldthwaite","Gift of Estate of Anne Goldthwaite, 1945"
"","","The Reverend John Brodhead Romeyn","1783","1861","1817?","1820","30 1/4 x 25 1/4 in. (76.8 x 64.1 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Samuel Lovett Waldo","Bequest of Elizabeth H. J. Cowdrey, 1929"
"","","Spring: Margot Standing in a Garden (Fillette dans un jardin)","1844","1926","1900","1900","26 3/4 x 22 3/4 in. (67.9 x 57.8 cm)","","Oil on canvas","","Paintings","","American","","Mary Cassatt","Bequest of Ruth Alms Barnard, 1981"
"","","American Interior","1883","1965","1935","1935","H. 8-3/4, W. 9-3/4 inches (22.2 x 24.8 cm.)","","Gouache and graphite on paper","","Drawings","","American","","Charles Sheeler","George A. Hearn Fund, 1941"
"","","An Incident of Whaling","1823","1892","null","null","22 x 36 in. (55.9 x 91.4 cm)","","Oil on canvas","","Paintings","","American","","William Bradford","Bequest of DeLancey Thorn Grant, in memory of her mother, Louise Floyd-Jones Thorn, 1990"
"","","Dandelion Seed Balls and Trees","1893","1967","1917","1917","H. 22-1/4, W. 18-1/4 inches (56.5 x 46.4 cm.)","","Watercolor, gouache, and graphite on paper","","Drawings","","American","","Charles Burchfield","Arthur Hoppock Hearn Fund, 1940"
"","","The Seven Deadly Sins: Gluttony","1904","1999","1949","1949","H. 24, W. 11-7/8 inches (61 x 30.2 cm.)","","Egg tempera on cardboard","","Paintings","","American","","Paul Cadmus","Gift of Lincoln Kirstein, 1993"
"","","Mrs. Thomas Brewster Coolidge","1792","1866","1827?","1827?","36 1/4 x 28 in. (92.1 x 71.1 cm)","","Oil on canvas","","Paintings","","American","","Chester","Rogers Fund, 1920"
"","","George Washington: Design for an Engraving","1828","1887","1860?","1860?","16 5/8 x 12 5/8 in. (42.2 x 32.1 cm)","","Oil on paper mounted on paper and unstretched canvas","","Paintings","","American","","Alonzo Chappel","Gift of William H. Huntington, 1883"
"","","Model B","1917","2004","1958","1958","H. 67-1/2, W. 80-3/4 inches (171.5 x 205.1 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Milton Resnick","Anonymous Gift, 1995"
"","","To A Water Lily","1877","1964","1915?","1915?","H. 20, W. 14 inches (50.8 x 35.6 cm.)","","Oil on canvas","","Paintings","","American","","I.J. Belmont","Gift of Elsie K. Belmont, 1979"
"","","Apple Blossoms","1840","1928","1889","1889","62 3/8 x 35 in. (158.4 x 88.9 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Charles Caryl Coleman","Barbara and John Robinson Fund and Marguerite and Frank A. Cosgrove Jr. Fund, 1996"
"","","Bob Hale's Death","1950","MetDoesntKnow","1988","1988","H. 22-1/8, W. 20-1/8 inches (56.2 x 51.1 cm.)","","Oil, wax, alkyd on canvas","","Paintings","","American","","Steven Hawley","Gift of Melinda Ann Farrell, 1994"
"","","Beckmann Catalogue","1918","2002","1986","1986","H. 40-1/4, W. 54-1/2 inches (102.2 x 138.4 cm.)","","Oil on canvas","","Paintings","","American","","Warren Brandt","Gift of the artist, 1991"
"","","Camouflaged Field in France","1856","1925","1918","1918","13 5/16 x 20 15/16 in. (33.8 x 53.2 cm)","","Watercolor, gouache, graphite, and wax crayon on white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Remembrance of an Afternoon on the Way","1933","MetDoesntKnow","1983","1983","H. 64, W. 78 inches (162.6 x 198.1 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Rafael Ferrer","George A. Hearn Fund, 1983"
"","","Seated Model","1885","1930","1925","1925","39 1/2 x 32in. (100.3 x 81.3cm) 45 3/4 x 38 1/8 x 2 3/8 in. (116.2 x 96.8 x 6 cm) (Frame)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Jules Pascin","Bequest of Miss Adelaide Milton de Groot (1876-1967), 1967"
"","","Design for hanging wall-mounted lantern","1848","1933","late19th","early20thcentury","Overall: 22 1/16 x 15 in. (56 x 38.1 cm) Other (Design): 13 7/8 x 10 5/16 in. (35.2 x 26.2 cm)","","Gouache, colored pencil, and graphite on off-white tracing paper on a light weight multi-ply paper board","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Study for Nijinsky","1910","1962","1950?","1950?","8 1/2 x 7 in. (21.6 x 17.8 cm)","","Ink and oil paint on paper, mounted to paperboard","","Drawings","","American","","Franz Kline","Anonymous Gift, in memory of Barbara Butler Weisl, 2005"
"","","Pelvis II","1887","1986","1944","1944","H. 40, W. 30 inches (101.6 x 76.2 cm.)","","Oil on canvas","","Paintings","","American","","Georgia O'Keeffe","George A. Hearn Fund, 1947"
"","","Turkish Fountain with Garden (from Louis C. Tiffany Estate, Oyster Bay)","1876","1965","1910?","1910?","24 1/4 x 18 in. (61.6 x 45.7 cm)","","Oil and charcoal on canvas","","Paintings","","American","","Jane Peterson","Gift of Caryl and Martin Horwitz, 1991"
"","","Cloud Study; Lake [Maggiore?] and Village (from Sketchbook)","1828","1891","1869?","1869?","4 1/2 x 9 in. (11.4 x 22.9 cm)","","Graphite, gouache and watercolor, on blue paper","","Drawings","","American","","Jervis McEntee","Morris K. Jesup Fund, 1982"
"","","Woman Reading","1886","1939","1922?","1922?","21 1/4 x 25 5/8 in. (54 x 65.1cm)","","Oil on canvas","","Paintings","","Russian","","Boris Grigoriev","Gift of Humanities Fund Inc., 1972"
"","","Untitled","1948","MetDoesntKnow","1978","1978","84 x 96in. (213.4 x 243.8cm)","","Oil, gesso, metallic paint, and graphite on canvas","","Paintings","","American","","Lois Lane","Gift of Ellen Kern and Ellis Kern, 1993"
"","","Landscape","1825","1894","1884or1889","1884or1889","9 x 12 3/4 in. (22.9 x 31.2 cm)","","Oil on canvas","","Paintings","","American","","George Inness","Bequest of Miss Adelaide Milton de Groot (1876�1967), 1967"
"","","Design for Angel of Faith window","1858","1932","1896","1896","Overall: 13 1/2 x 6 3/4 in. (34.3 x 17.1 cm) Design: 13 5/16 x 5 9/16 in. (33.8 x 14.1 cm)","","Watercolor, gouache, and graphite on paper [photostat?] mounted on board","","Drawings","","MetDoesntKnow","","Frederick Wilson 1858-1932","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Pier 5","1914","2000","1945","1945","H. 23-1/2, W. 30-1/4 inches (59.7 x 76.8 cm.)","","Oil on Masonite","","Paintings","","American","","Jacob Glushakow","Gift of Mr. and Mrs. Herbert S. Denenberg, 1991"
"","","George Washington","1769?","1819","1800?","1800?","3 1/8 x 2 7/16 in. (7.9 x 6.2 cm)","","Watercolor on ivory in rose gold locket; hair reserve verso","","Paintings","","MetDoesntKnow","","Robert Field","Bequest of Charles Allen Munn, 1924"
"","","Rainy Day in Camp","1836","1910","1871","1871","20 x 36 in. (50.8 x 91.4 cm)","","Oil on canvas","","Paintings","","American","","Winslow Homer","Gift of Mrs. William F. Milton, 1923"
"","","Speedboat's Wake","1885","1965","1959","1959","H. 53-3/4, W. 71-1/2 inches (136.5 x 181.6 cm.)","","Oil on canvas","","Paintings","","American","","Milton Avery","Gift of Milton and Sally Avery Arts Foundation, 1989"
"","","Old Tombstones","1880","1946","1935","1935","5 x 7 in. (12.7 x 17.8 cm)","","Watercolor, gouache, and ink on paper","","Drawings","","American","","Arthur Dove","Alfred Stieglitz Collection, 1949"
"","","Autumnal Landscape","1924","MetDoesntKnow","1976","1977","H. 80, W. 70 inches (203 x 177.8 cm.)","","Oil on canvas","","Paintings","","American","","Jane Freilicher","Gift of Dr. and Mrs. Robert E. Carroll, 1978"
"","","Fall in Provincetown","1887","1983","1913?","1913?","H. 10, W. 10 inches (25.4 x 25.4 cm.)","","Oil on cardboard","","Paintings","","American","","Houghton Cranford Smith","Purchase, George A. Hearn Fund, by exchange, 1991"
"","","Portrait of a Gentleman","1812","1846","1835?","1835?","Diam. 2 1/2 in. (6.4 cm)","","Watercolor on ivory","","Paintings","","MetDoesntKnow","","Alfred Thomas Agate","Maria DeWitt Jesup Fund, 1990"
"","","Arrangement in Black: Girl Reading","1834","1903","1880?","1890","12 x 9 in. (22.9 x 30.5 cm)","","Oil on wood","","Paintings","","American","","James McNeill Whistler","Bequest of Miss Adelaide Milton de Groot (1876�1967), 1967"
"","","Untitled","1947","MetDoesntKnow","1985","1985","H. 30, W. 22-1/2 inches (76.2 x 57.2 cm.)","","Oil stick on paper","","Drawings","","American","","Melissa Meyer","Purchase, Carpat Foundation Inc. Gift, 1986"
"","","Memorial painting","MetDoesntKnow","MetDoesntKnow","1811","1811","28 x 32 3/8 in. (71.1 x 82.2 cm)","","Watercolor and ink on silk","","Textiles","","MetDoesntKnow","","Sally Miller","Rogers Fund, 1948"
"","","Profound Longing","1880","1966","1965","1965","H. 50-1/8, W. 40-1/8 inches (127.3 x 101.9 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Hans Hofmann","Gift of Renate Hofmann, 1990"
"","","24 April 75","1941","MetDoesntKnow","1975","1975","H. 42, W. 38 inches (106.7 x 96.5 cm.)","","Oil on canvas","","Paintings","","American","","Richard Hennessy","Purchase, Joseph H. Hazen Foundation, Inc. Gift, 1975"
"","","Standing Woman","1840","1895","1881?","1882","11 3/4 x 8 1/2 in. (29.8 x 21.6 cm)","","Graphite and gouache watercolor on blue wove paper","","Drawings","","MetDoesntKnow","","Thomas Hovenden","Rogers Fund, 1962"
"","","Portrait of a Gentleman","1770?","1843","null","null","2 3/16 x 1 13/16 in. (5.6 x 4.6 cm)","","Watercolor on ivory in gilded copper case; hair reserve verso","","Paintings","","MetDoesntKnow","","Benjamin Trott","Gift of Gloria Manney, 2006"
"","","Torre dei Schiavi, The Roman Campagna (from Cropsey Album)","1823","1900","1853","1853","4 1/8 x 5 11/16 in. (10.5 x 14.4 cm)","","Graphite, white gouache, and brown and gray ink washes on dark buff wove paper","","Drawings","","American","","Jasper Francis Cropsey","Purchase, Charles and Anita Blatt Gift, 1970"
"","","Portrait of my Mother","1913","1980","1931","1931","H. 16-3/8, W. 15-5/8 inches (41.6 x 39.7 cm.)","","Oil on canvas","","Paintings","","American","","Philip Guston","Purchase, Gift of Jane and Robert Carroll and Eliot and Wilson Nolen, 1997"
"","","The Willow Tree and the Cow","1877","1949","1923","1923","H. 30, W. 25 inches (76.2 x 63.5 cm.)","","Oil on canvas","","Paintings","","American","","Walt Kuhn","Gift of Jane and Robert E. Carroll, 1991"
"","","Country Store","1909","1993","1939?","1939?","H. 14-7/8, W. 20 inches (37.8 x 50.8 cm.)","","Gouache on paper","","Drawings","","American","","Reginald Wilson","Gift of New York City W. P. A., 1943"
"","","The Fable of the Miller, His Son, and the Donkey","1836","1923","1867?","1868","6 1/2 x 10 3/4 in. (16.5 x 27.3 cm)","","Oil on canvas","","Paintings","","American","","Elihu Vedder","Gift of John V. and Enza Tomassi Kiskis, 1992"
"","","Fortune: A Study for The Discoverer","1824","1879","1878","1878","37 x 25 1/2 in. (94 x 64.1 cm)","","Oil on paper","","Paintings","","American","","William Morris Hunt","Rogers Fund, 1911"
"","","The Last Parade","1922","1991","1987","1987","H. 70, W. 70 inches (177.8 x 177.8 cm.)","","Oil on canvas","","Paintings","","American","","Joyce Treiman","Anonymous Gift, 1989"
"","","The Visitation","1939","MetDoesntKnow","1981","1981","H. 19-3/4, W. 20-1/4 inches (50.2 x 51.4 cm.)","","Oil on canvas","","Paintings","","American","","Salle Werner Vaughn","Gift of the artist, in loving memory of Helen Serger, 1990"
"","","Self-Portrait","1922","1993","1951","1951","H. 35-1/8, W. 30 inches (89.2 x 76.2 cm.)","","Oil on canvas","","Paintings","","American","","Robert De Niro","The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
"","","Adventure","1862","1928","1914","1918","18 1/8 x 30 1/8 in. (46 x 76.5 cm)","","Oil on canvas","","Paintings","","American","","Arthur B. Davies","Bequest of Lillie P. Bliss, 1931"
"","","Outline Sketch of Mountains (from Sketchbook)","1828","1891","1869","1869","4 1/2 x 9 in. (11.4 x 22.9 cm)","","Graphite, white gouache, on blue paper","","Drawings","","American","","Jervis McEntee","Morris K. Jesup Fund, 1982"
"","","Self-portrait","1749","1831","1789","1789","1 3/4 x 1 1/4 in. (4.4 x 3.2 cm)","","Watercolor on ivory","","Paintings","","American","","James Peale","Gift of Gloria Manney, 2006"
"","","Untitled","1912","1956","1947?","1947?","H. 14, W. 18-5/8 inches (35.6 x 47.3 cm.)","","Gouache, watercolor, colored and watercolor pencils, and ink on paper","","Drawings","","American","","Jackson Pollock","Gift of Lee Krasner Pollock, 1982"
"","","Number 28, 1950","1912","1956","1950","1950","68 1/8 x 105 in. (173 x 266.7 cm)","","Enamel on canvas","","Paintings","","American","","Jackson Pollock","The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, in honor of her grandchildren, Ellen Steinberg Coven and Dr. Peter Steinberg, 2006"
"","","Grey Tree, Lake George","1887","1986","1925","1925","36 x 30in. (91.4 x 76.2cm)","","Oil on canvas","","Paintings","","American","","Georgia O'Keeffe","Alfred Stieglitz Collection, Bequest of Georgia O'Keeffe, 1986"
"","","A Bit of War History: The Recruit","1823","1903","1866","1866","28 1/4 x 20 1/4 in. (71.8 x 51.4 cm) (framed with 84.12a and 84.12c)","","Oil on canvas","","Paintings","","American","","Thomas Waterman Wood","Gift of Charles Stewart Smith, 1884"
"","","Men and Machine","1892","1964","1934","1934","H. 32, W. 40 inches (81.3 x 101.6 cm.)","","Oil on canvas","","Paintings","","American","","Stuart Davis","Gift of Mr. and Mrs. Jay R. Braus, 1981"
"","","Hagar and Ishmael","1738","1820","1776,reworked1803","1776,reworked1803","76 x 54 1/2 in. (193 x 138.4 cm)","","Oil on canvas","","Paintings","","American","","Benjamin West","Maria DeWitt Jesup Fund, 1923"
"","","Gabriel","1894","1972","1935?","1935?","H. 36, W. 40 inches (91.4 x 101.6 cm.)","","Oil on canvas","","Paintings","","American","","Franklin Watkins","Arthur Hoppock Hearn Fund, 1950"
"","","Low Tide, Riverside Yacht Club","1852","1896","1894","1894","18 x 24 in. (45.7 x 61 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Theodore Robinson","Gift of Margaret and Raymond J. Horowitz, 2007"
"","","Seascape","1896","1984","1938?","1939","H. 15, W. 19-1/2 inches (38.1 x 49.5 cm.)","","Gouache on paper","","Drawings","","American","","Joseph De Martini","Gift of New York City W. P. A., 1943"
"","","Camp Fire","1836","1910","1880","1880","23 3/4 x 38 1/8 in. (60.3 x 96.8 cm)","","Oil on canvas","","Paintings","","American","","Winslow Homer","Gift of Josephine Pomeroy Hendrick, in the name of Henry Keney Pomeroy, 1927"
"","","Clam Diggers, Provincetown","1891","1971","1949","1949","H. 40-1/8, W. 30-1/4 inches (101.9 x 76.9 cm.)","","Oil on canvas","","Paintings","","American","","Karl Knaths","Arthur Hoppock Hearn Fund, 1950"
"","","Shipwreck off Nantucket (Wreck off Nantucket after a Storm)","1823","1892","1860?","1861","40 x 64 in. (101.6 x 162.6 cm)","","Oil on canvas","","Paintings","","American","","William Bradford","Purchase, John Osgood and Elizabeth Amis Cameron Blanchard Memorial Fund, Fosburgh Fund Inc. Gift, and Maria DeWitt Jesup Fund, 1971"
"","","Archetypal Painting for A.G.","1951","MetDoesntKnow","1975","1976","H. 68, W. 64-1/4 inches (172.7 x 162.6 cm.)","","Acrylic and modeling paste on canvas","","Paintings","","American","","Julian Schnabel","Gift of Barbara and Eugene Schwartz, 1988"
"","","Mrs. Annie C. Hyde","1807","1893","1863","1863","3 9/16 x 2 7/8 in. (9.2 x 7.3 cm)","","Watercolor on ivory","","Paintings","","MetDoesntKnow","","John Wood Dodge","Gift of Gloria Manney, 2006"
"","","Patriot","1939","MetDoesntKnow","1991","1991","H. 72, W. 90 inches (182.9 x 228.6 cm.)","","Oil on canvas","","Paintings","","American","","Harry Kramer","Purchase, Jan S. Cowles Gift, 1991"
