"Process","person_uri","object_uri","Artwork_Name","image","Artwork_Year","Dimensions","person_appellation_uri","name","Provenance"
"Ink on graph paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.75&dim=300px","","10 7/8 x 8 3/8 in. (27.6 x 21.3 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Lithograph on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.81&dim=300px","","Frame: 21 1/2 x 21 1/2 x 1 1/2 in. (54.6 x 54.6 x 3.8 cm)","","Josef Albers","The Museum of Contemporary Art, Los Angeles
Gift of Martha Bertonneau Padve"
"Ink on graph paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.75&dim=300px","","10 7/8 x 8 3/8 in. (27.6 x 21.3 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Aluminum blocks","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.7&dim=300px","","Each: 1 x 2 x 2 in. (2.5 x 5.1 x 5.1 cm)
4 x 10 x 10 in. (10.2 x 25.4 x 25.4 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.74&dim=300px","","111 3/4 x 114 in. (283.8 x 289.6 cm)","","Elizabeth Murray","The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection"
"Silver print, edition 6/7","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.97&dim=300px","","17 x 13 3/8 in. (43.2 x 34 cm)","","Diana Michener","The Museum of Contemporary Art, Los Angeles
Gift of Bruce and Nancy Berman"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.129&dim=300px","","Image: 16 x 14 in. (40.6 x 35.6 cm)","","Victoria Morton","The Museum of Contemporary Art, Los Angeles
Gift of Matthew Aberle"
"Twenty two Christmas trees, table, 15 c-prints, 10 works on paper, cardboard boxes, Santa suit, carpet, stuffed monkey, chocolate, ketchup, paint, and Nobuyoshi Araki photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.1&dim=300px","","Overall dimensions variable
Photographs: 70 x 48 in. (177.8 x 121.9 cm)","","Paul McCarthy","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Eugenio Lopez"
"Cibachrome print, edition 2/3","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.172&dim=300px","","72 x 48 in. (182.9 x 121.9 cm)","","Paul McCarthy","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne"
"Cibachrome print, edition 2/3","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.169&dim=300px","","72 x 48 in. (182.9 x 121.9 cm)","","Paul McCarthy","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne"
"Acrylic on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=80.3&dim=300px","","132 3/4 x 258 in. (337.2 x 655.3 cm)","","Jules Olitski","The Museum of Contemporary Art, Los Angeles
Gift of Robert A. Rowan"
"Bronze with patina, edition 6/9","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.16&dim=300px","","11 7/8 x 8 7/8 x 1 3/4 in. (30.2 x 22.5 x 4.4 cm)","","Yoko Ono","The Museum of Contemporary Art, Los Angeles
Gift of The Audrey and Sydney Irmas Charitable Foundation"
"Ink on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.57&dim=300px","","27 x 22 in. (68.6 x 55.9 cm)","","Jennifer Pastor","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee and Gail and Tony Ganz"
"Oil and betadine on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.39&dim=300px","","38 3/16 x 77 15/16 in. (97 x 198 cm)","","Philippe Perrot","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Silver gelatin matte fiber finish print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.70&dim=300px","","Image: 40 x 30 in. (101.6 x 76.2 cm)","","Eileen Quinlan","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Fabric, wood chairs, wood poles, paint, flags","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.134&dim=300px","","59 x 62 x 18 in.","","Kim Abeles","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Color lithograph, edition 18/40","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.1&dim=300px","","34 1/4 x 23 7/8 in. (87 x 60.6 cm)","","Ed Paschke","The Museum of Contemporary Art, Los Angeles
Gift of First Interstate Bank of California Foundation"
"Matte oil, aerosol lacquer, and cel-vinyl on gessoed canvas over wood panel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.1&dim=300px","","102 x 76 in. (259.1 x 193 cm)","","Lari Pittman","The Museum of Contemporary Art, Los Angeles
Gift of Rosette V. Delug"
"Acrylic on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=80.3&dim=300px","","132 3/4 x 258 in. (337.2 x 655.3 cm)","","Jules Olitski","The Museum of Contemporary Art, Los Angeles
Gift of Robert A. Rowan"
"Acrylic on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.39&dim=300px","","76 x 5 1/4 in. (193 x 13.3 cm)","","Jules Olitski","The Museum of Contemporary Art, Los Angeles
Gift of William A. Palmer"
"Bronze with patina, edition 6/9","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.16&dim=300px","","11 7/8 x 8 7/8 x 1 3/4 in. (30.2 x 22.5 x 4.4 cm)","","Yoko Ono","The Museum of Contemporary Art, Los Angeles
Gift of The Audrey and Sydney Irmas Charitable Foundation"
"Ink on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.57&dim=300px","","27 x 22 in. (68.6 x 55.9 cm)","","Jennifer Pastor","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee and Gail and Tony Ganz"
"Ink and pencil on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.262&dim=300px","","18 x 12 1/4 in. (45.7 x 31.1 cm)
Paper: 16 x 11 in. (40.6 x 27.9 cm)","","Jennifer Pastor","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Wood painted black","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.14&dim=300px","","114 x 124 x 16 in. (289.6 x 315 x 40.6 cm)","","Louise Nevelson","The Museum of Contemporary, Los Angeles
Gift of the artist"
"C-print mounted on aluminum","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.257&dim=300px","","30 x 40 in. (76.2 x 101.6 cm)","","Deborah Mesa-Pelly","The Museum of Contemporary Art, Los Angeles
Gift of Steven Neu"
"C-print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.37&dim=300px","","49 3/4 x 38 in. (126.4 x 96.5 cm)","","Rika Noguchi","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Ink, collage, and sequins on mylar","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.99&dim=300px","","50 x 43 in. (127 x 109.2 cm)","","Wangechi Mutu","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Manfred and Jennifer Simchowitz"
"Collage, ink, and acrylic on Mylar","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.18&dim=300px","","22 x 17 in. (55.9 x 43.2 cm)","","Wangechi Mutu","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee and Alexander and Rebecca Stewart"
"Ink, acrylic, and collage on mylar","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.23&dim=300px","","87 x 52 1/2 in. (221 x 133.4 cm)","","Wangechi Mutu","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Dallas Price-Van Breda"
"Red and blue ink on rice paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.54&dim=300px","","9 x 11 in. (22.9 x 27.9 cm)","","Robert Motherwell","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Steven Roth"
"Collage on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.143&dim=300px","","9 1/2 x 9 1/4 in. (24.1 x 23.5 cm)","","Richard Meier","The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.129&dim=300px","","Image: 16 x 14 in. (40.6 x 35.6 cm)","","Victoria Morton","The Museum of Contemporary Art, Los Angeles
Gift of Matthew Aberle"
"Twenty two Christmas trees, table, 15 c-prints, 10 works on paper, cardboard boxes, Santa suit, carpet, stuffed monkey, chocolate, ketchup, paint, and Nobuyoshi Araki photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.1&dim=300px","","Overall dimensions variable
Photographs: 70 x 48 in. (177.8 x 121.9 cm)","","Paul McCarthy","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Eugenio Lopez"
"Cibachrome print, edition 2/3","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.172&dim=300px","","72 x 48 in. (182.9 x 121.9 cm)","","Paul McCarthy","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne"
"Cibachrome print, edition 2/3","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.169&dim=300px","","72 x 48 in. (182.9 x 121.9 cm)","","Paul McCarthy","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne"
"Graphite and ink on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.72A-Z&dim=300px","","Each: 8 1/2 x 11 in. (21.6 x 27.9 cm)
Frame: 46 1/2 x 82 1/2 x 1 1/2 in. (118.1 x 209.6 x 3.8 cm)","","Paul McCarthy","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee"
"Ceramic, iron, wood, and four clamping screws","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.93&dim=300px","","70 1/2 x 47 1/4 x 71 5/8 in. (179 x 120 x 182 cm)","","Mark Manders","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Rosette Delug"
"Oil and wax on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.107&dim=300px","","130 x 78 in. (330.2 x 198.1 cm)","","Malcolm Morley","The Museum of Contemporary Art, Los Angeles
Gift of Contemporary Art Associates and Audrey and Sydney Irmas"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.74&dim=300px","","111 3/4 x 114 in. (283.8 x 289.6 cm)","","Elizabeth Murray","The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection"
"Pastel on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.99&dim=300px","","30 3/4 x 25 x 2 3/4 in. (78.1 x 63.5 x 7 cm)","","Elizabeth Murray","The Museum of Contemporary Art, Los Angeles
Gift from the Collection of Regina and William Fadiman"
"Ink on graph paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.75&dim=300px","","10 7/8 x 8 3/8 in. (27.6 x 21.3 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Aluminum blocks","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.7&dim=300px","","Each: 1 x 2 x 2 in. (2.5 x 5.1 x 5.1 cm)
4 x 10 x 10 in. (10.2 x 25.4 x 25.4 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Xerox poem pages, edition 15/75","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.2.2&dim=300px","","8 1/2 x 11 in. (21.6 x 27.9 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation"
"Lithograph on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.81&dim=300px","","Frame: 21 1/2 x 21 1/2 x 1 1/2 in. (54.6 x 54.6 x 3.8 cm)","","Josef Albers","The Museum of Contemporary Art, Los Angeles
Gift of Martha Bertonneau Padve"
"Oil on paper on board","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.67&dim=300px","","17 1/4 x 23 1/8 in. (43.8 x 58.7 cm)","","Josef Albers","The Museum of Contemporary Art, Los Angeles
Partial and promised gift from the Collection of Laura-Lee and Robert Woods"
"Ball point pen on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.128.2&dim=300px","","17 7/8 x 13 7/8 in. (45.4 x 35.2 cm)","","Dan Asher","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Color coupler print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.130&dim=300px","","40 x 30 in. (101.6 x 76.2 cm)","","Cindy Sherman","The Museum of Contemporary Art, Los Angeles
Gift of William J. and Maria Bell"
"Cinderblocks, stools, planks, light, audio","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.1&dim=300px","","18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm)","","Vito Acconci","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation"
"6 prints, aquatint and photoetching, edition 11/25","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.1A-F&dim=300px","","Each: 23 1/2 x 31 in. (59.7 x 78.7 cm)","","Vito Acconci","The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation"
"Rebar, plaster, canvas, steel cable, audio, and lights","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.8&dim=300px","","288 x 96 x 60 in. (731.5 x 243.8 x 152.4 cm)","","Vito Acconci","The Museum of Contemporary Art, Los Angeles
Gift of James Corcoran Gallery"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.56&dim=300px","","10 x 8 in. (25.4 x 20.3 cm)","","Cindy Sherman","The Museum of Contemporary Art, Los Angeles
Puchased with funds provided by the friends of Marsha Kleinman in her memory"
"Sprayed acrylic lacquer on vacuum-formed plexiglas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.4&dim=300px","","36 x 62 x 16 in. (91.4 x 157.5 x 40.6 cm)
Other (Flat): 22 x 50 x 16 in. (55.9 x 127 x 40.6 cm)","","Craig Kauffman","The Museum of Contemporary Art, Los Angeles
Gift of Irving Blum"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.84&dim=300px","","65 1/4 x 92 in. (165.7 x 233.7 cm)","","Richard Diebenkorn","Collection of Lenore S. and Bernard A. Greenberg
Partial gift to The Museum of Contemporary Art, Los Angeles"
"Heat-formed Plexiglas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.81&dim=300px","","13 3/4 x 14 1/2 x 1 1/2 in. (34.9 x 36.8 x 3.8 cm)","","Michael Asher","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee"
"Lithograph on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.81&dim=300px","","Frame: 21 1/2 x 21 1/2 x 1 1/2 in. (54.6 x 54.6 x 3.8 cm)","","Josef Albers","The Museum of Contemporary Art, Los Angeles
Gift of Martha Bertonneau Padve"
"Oil on paper on board","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.67&dim=300px","","17 1/4 x 23 1/8 in. (43.8 x 58.7 cm)","","Josef Albers","The Museum of Contemporary Art, Los Angeles
Partial and promised gift from the Collection of Laura-Lee and Robert Woods"
"Oil on masonite","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.1&dim=300px","","15 5/8 x 15 5/8 in. (39.7 x 39.7 cm)
Frame: 16 1/4 x 16 1/4 in. (41.3 x 41.3 cm)","","Josef Albers","The Museum of Contemporary, Los Angeles
Gift of The American Art Foundation"
"Ink on graph paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.75&dim=300px","","10 7/8 x 8 3/8 in. (27.6 x 21.3 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Aluminum blocks","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.7&dim=300px","","Each: 1 x 2 x 2 in. (2.5 x 5.1 x 5.1 cm)
4 x 10 x 10 in. (10.2 x 25.4 x 25.4 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Xerox poem pages, edition 15/75","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.2.2&dim=300px","","8 1/2 x 11 in. (21.6 x 27.9 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation"
"Paper (rubber stamp) on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.32&dim=300px","","Image: 8 1/4 x 8 1/4 in. (21 x 21 cm)","","Carl Andre","Museum of Contemporary Art, THE DOROTHY AND HERBERT VOGEL COLLECTION: FIFTY WORKS FOR FIFTY STATES, a joint initiative of the Trustees of the Dorothy and Herbert Vogel Collection and the National Gallery of Art, with generous support of the National Endowment for the Arts and the Institute for Museum and Library Services."
"Ceramic, iron, wood, and four clamping screws","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.93&dim=300px","","70 1/2 x 47 1/4 x 71 5/8 in. (179 x 120 x 182 cm)","","Mark Manders","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Rosette Delug"
