"Artist_uri","Object_URI","Label_on_page","origin","title","image_url","dates","birth_year","death_year","dimension","technique_uri","technique","label_type_uri","origin_type_uri","nationality_uri","nationality","Artist_appellation_uri","name","credit_line"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Toilet Bottle with Stopper","http://www.philamuseum.org/images/cad/large/1931-55-2aa,ba-ov.jpg","1837","","","7 x 3 7/8 inches (17.8 x 9.9 cm)","","Porcelain with enamel and gilt decoration","","","","Philadelphia","","Made by American Porcelain Company (formerly Tucker Factory)","Gift of Eliza Amanda Tucker in memory of Mary Earp Tucker, 1931"
"","","American Rockingham wares were popular in the Unites States from the mid-nineteenth through the early twentieth centuries. The term ""Rockingham"" derives from an English factory on the estate of the Marquess of Rockingham that produced ceramic objects from 1745 until 1842. The factory became known for its mottled manganese-brown glazes and for its relief-molded decorations, often in the revived Rococo style (characterized by the use of leaf and flower motifs, curves and sinuous lines, and organic forms). When pottery manufacturers in the eastern United States and Ohio began to produce wares with similar glazes and designs in the early nineteenth century, the objects became known as ""American Rockingham.""","Made in Jersey City, New Jersey, United States, North and Central America","Pitcher","http://www.philamuseum.org/images/cad/large/2008-25-18-ov.jpg","c. 1840-45","","","10 7/16 x 8 11/16 x 8 1/16 inches (26.5 x 22.1 x 20.5 cm)","","Glazed earthenware (American Rockingham ware)","","","","JerseyCity","","Manufacture attributed to American Pottery Manufacturing Company","Gift of Jay A. and Emma Lewis, 2008"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Toilet Bottle with Stopper","http://www.philamuseum.org/images/cad/large/1931-55-2a,b-ov.jpg","1837","","","7 x 3 7/8 inches (17.8 x 9.9 cm)","","Porcelain with enamel and gilt decoration","","","","Philadelphia","","Made by American Porcelain Company (formerly Tucker Factory)","Gift of Eliza Amanda Tucker in memory of Mary Earp Tucker, 1931"
"","","","Made in Zanesville, Ohio, United States, North and Central America","Tile with Bust of Abraham Lincoln","http://www.philamuseum.org/images/cad/large/2008-25-69a,b-pma.jpg","19th century","","","Height: 7 5/8 inches (19.4 cm)","","Earthenware","","","","Zanesville","","American Encaustic Tiling Company","Gift of Jay A. and Emma Lewis, 2008"
"","","In 1835 the Pennsylvania Assembly voted to incorporate the Tucker and Hemphill Factory as the American Porcelain Company. Thomas Tucker continued to manage the new concern, which produced the same porcelain wares as before, with few stylistic changes, until its closing in 1837.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Pitcher","http://www.philamuseum.org/images/cad/large/1915-119-ov.jpg","1835-37","","","11 5/8 x 8 9/16 inches (29.5 x 21.7 cm)","","Porcelain with enamel and gilt decoration","","","","Philadelphia","","Possibly made by American Porcelain Company (formerly Tucker Factory)","Gift of John T. Morris, 1915"
"","","","Made in New York City, New York, United States, North and Central America","Candelabrum","http://www.philamuseum.org/images/cad/large/1988-89-4a--c-ov.jpg","1860-70","","","22 1/4 x 15 x 5 7/8 inches (56.5 x 38.1 x 14.9 cm)
Weight: 33 ounces 8 dwt","","Silver","","","","NewYork","","Albert Coles & Co.","Gift of Mr. and Mrs. I. Wistar Morris III, 1988"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Trees","http://www.philamuseum.org/images/cad/large/2008-100-8-pma.jpg","1962","","","Sheet: 16 5/8 x 10 5/8 inches (42.2 x 27 cm)","","Brush and black ink with ink wash on cream wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Study for Torsion 1","http://www.philamuseum.org/images/cad/large/2008-100-14-pma.jpg","c. 1972","","","Sheet: 9 1/4 x 10 1/2 inches (23.5 x 26.7 cm)","","Graphite on thin cream wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Study for Night Sea (possibly)","http://www.philamuseum.org/images/cad/large/2008-100-15-pma.jpg","c. 1972","","","Sheet: 19 3/4 x 11 3/4 inches (50.2 x 29.8 cm)","","Graphite on heavy cream wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Study for ""Grid, 1980""","http://www.philamuseum.org/images/cad/large/2008-100-22-pma.jpg","c. 1979-80","","","Sheet: 11 x 9 5/8 inches (27.9 x 24.4 cm)","","Graphite and colored pencil on graph paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Study","http://www.philamuseum.org/images/cad/large/2008-100-12-pma.jpg","1964","","","Sheet: 12 x 14 inches (30.5 x 35.6 cm)","","Black and red fiber-tipped pen on yellow tracing paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Grid Drawing","http://www.philamuseum.org/images/cad/large/2008-100-19-pma.jpg","c. 1976-77","","","Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm)","","Colored pencil on graph paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Grid Drawing","http://www.philamuseum.org/images/cad/large/2008-100-18-pma.jpg","c. 1976-77","","","Sheet: 11 x 9 7/8 inches (27.9 x 25.1 cm)","","Graphite and colored pencil on graph paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Forest","http://www.philamuseum.org/images/cad/large/2008-100-9-pma.jpg","1962","","","Sheet: 11 x 17 inches (27.9 x 43.2 cm)","","Brush and black ink with ink wash on cream wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Flip Flop","http://www.philamuseum.org/images/cad/large/2008-100-23a-pma.jpg","c. 1982","","","Sheet (left panel): 12 7/8 x 9 inches (32.7 x 22.9 cm)
Sheet (right panel): 13 3/4 x 9 inches (34.9 x 22.9 cm)","","Graphite and colored pencil on cream wove paper (diptych)","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Finale Drawing","http://www.philamuseum.org/images/cad/large/2008-100-20-pma.jpg","1979","","","Sheet: 11 x 10 inches (27.9 x 25.4 cm)","","Graphite and colored pencil on graph paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Figure Moving","http://www.philamuseum.org/images/cad/large/2008-100-11-pma.jpg","1963","","","Sheet: 13 x 17 inches (33 x 43.2 cm)","","Pen and black ink on thin beige wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Figure and Bird Line Drawing III","http://www.philamuseum.org/images/cad/large/2008-100-6-pma.jpg","1961","","","Sheet: 14 x 17 inches (35.6 x 43.2 cm)","","Pen and black ink on cream wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Disappearing Man and Conch Shell","http://www.philamuseum.org/images/cad/large/2008-100-3-pma.jpg","1948","","","Sheet: 8 1/8 x 9 3/4 inches (20.6 x 24.8 cm)","","Opaque watercolor on beige wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Decagon","http://www.philamuseum.org/images/cad/large/2008-100-13-pma.jpg","1970","","","Sheet: 9 x 9 inches (22.9 x 22.9 cm)","","White opaque watercolor or ink on tan card with silver foil facing paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Color Grid Diptych (Related to ""Grid,"" 1980)","http://www.philamuseum.org/images/cad/large/2008-100-21-pma.jpg","c. 1979","","","Sheet: 8 9/16 x 11 inches (21.7 x 27.9 cm)","","Graphite and colored pencil on cream wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","","Printed in Albuquerque, New Mexico, United States, North and Central America","Black Cisoide","http://www.philamuseum.org/images/cad/large/2010-63-3-pma.jpg","1971","","","Image and sheet: 24 x 30 1/8 inches (61 x 76.5 cm)","","Lithograph","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Bailey Island Shore","http://www.philamuseum.org/images/cad/large/2008-100-1-pma.jpg","1941","","","Sheet: 9 x 11 1/2 inches (22.9 x 29.2 cm)","","Graphite on tan wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","","Made in United States, North and Central America","Amethyst Earrings","http://www.philamuseum.org/images/cad/large/1961-79-2b,c-ov.jpg","19th century","","","Length: 1 3/4 inches (4.4 cm)","","Silver, amethyst, gold wash","","","","American","","Artist/maker unknown","Bequest of Greta Carter Mohoney, 1961"
"","","","Made in United States, North and Central America","Amethyst Brooch","http://www.philamuseum.org/images/cad/large/1961-79-2d-dept.jpg","19th century","","","2 × 1 9/16 inches (5.1 × 4 cm)","","Silver, amethyst, gold wash","","","","American","","Artist/maker unknown","Bequest of Greta Carter Mohoney, 1961"
"","","","Made in United States, North and Central America","""Searchlight"" Brooch","http://www.philamuseum.org/images/cad/large/1964-6-3-pma.jpg","c. 1943","","","1 1/4 x 2 x 3/4 inches (3.2 x 5.1 x 1.9 cm)","","Gold, moonstone, semi-precious stones","","","","American","","Artist/maker unknown","Gift of Mrs. Henry W. Breyer, Jr., 1964"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Stripe Study","http://www.philamuseum.org/images/cad/large/2008-100-24-pma.jpg","c. 1982","","","Sheet: 13 11/16 x 9 1/8 inches (34.8 x 23.2 cm)","","Graphite and colored pencil on cream wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
