"artist_URI","description","object_uri","Artwork_Title","image_url","birth_date","death_date","date","dimensions_inch","medium_uri","medium","Nationality_URI","nationality","artist_appellation_uri","name","credit_line"
"","NA","","Boulders","http://emuseum.huntington.org/internal/media/dispatcher/18051/resize:format$003dfull","1827","1908","1853","10 x 14","","graphite and Chinese white on paper","","American","","David Johnson","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Bountiful Sea","http://emuseum.huntington.org/internal/media/dispatcher/27967/resize:format$003dfull","NA","NA","n.d.","10 1/2 x 20 1/2","","watercolor and pencil on paper","","NA","","American School","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Boxing Match","http://emuseum.huntington.org/internal/media/dispatcher/28321/resize:format$003dfull","1890","1972","n.d.","18 1/4 x 23 3/8","","charcoal on paper","","American","","Alexander Zerdin Kruse","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Kruse family trust"
"","NA","","Bradford Cove, Grand Mannan","http://emuseum.huntington.org/internal/media/dispatcher/18023/resize:format$003dfull","1831","1913","1877","11 3/4 x 17 3/4","","graphite heightened with white on paper","","American","","John George Brown","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Breakfast Room Table (closed)","http://emuseum.huntington.org/internal/media/dispatcher/16182/resize:format$003dfull","1868","1962","ca. 1902","5 11/16 x 5 3/8","","graphite, pen, ink and watercolor on paper","","American","","William H. Bradley","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley"
"","NA","","Bridal Veil Falls","http://emuseum.huntington.org/internal/media/dispatcher/28301/resize:format$003dfull","1833","1909","1871","9 x 6 1/4","","graphite heightened with Chinese white on paper","","American","","James David Smillie","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Bucking Horse","http://emuseum.huntington.org/internal/media/dispatcher/26361/resize:format$003dfull","1872","1945","n.d.","8 1/4 x 11","","India ink on paper","","American","","Edward Borein","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Buildings at Water's Edge, September 25, 1890","http://emuseum.huntington.org/internal/media/dispatcher/20089/resize:format$003dfull","1846","1918","1890","3 1/2 x 8 1/4","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Bullocks Drawing ""Service""","http://emuseum.huntington.org/internal/media/dispatcher/18151/resize:format$003dfull","1890","1979","1927","7 5/8 x 9","","graphite and colored graphite on paper","","American","","Peter Krasnow","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Bullocks Drawing I","http://emuseum.huntington.org/internal/media/dispatcher/18148/resize:format$003dfull","1890","1979","1927","10 1/2 x 14 3/4","","graphite and colored graphite on paper","","American","","Peter Krasnow","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Bullocks Drawing II","http://emuseum.huntington.org/internal/media/dispatcher/18149/resize:format$003dfull","1890","1979","1927","10 1/2 x 14 3/4","","graphite and colored graphite on paper","","American","","Peter Krasnow","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Bullocks Drawing III","http://emuseum.huntington.org/internal/media/dispatcher/18150/resize:format$003dfull","1890","1979","1927","10 1/4 x 14 3/4","","graphite and colored graphite on paper","","American","","Peter Krasnow","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Cabinet with Tulip Poplar Panels","http://emuseum.huntington.org/internal/media/dispatcher/25938/resize:format$003dfull","NA","NA","1904","13 7/8 x 9 1/4","","watercolor, graphite and ink on paperboard","","American","","Edna Walker","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation with support from Mark and Jill Willcox"
"","NA","","Cairn Terrier","http://emuseum.huntington.org/internal/media/dispatcher/22337/resize:format$003dfull","1858","1949","1937","14 x 9 1/2","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
"","NA","","Calligraphic Form","http://emuseum.huntington.org/internal/media/dispatcher/27885/resize:format$003dfull","NA","NA","1958","sheet: 19 x 24","","watercolor on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist"
"","NA","","Calligraphic Form","http://emuseum.huntington.org/internal/media/dispatcher/27886/resize:format$003dfull","NA","NA","1958","sheet: 23 x 19 3/4","","watercolor on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist"
"","NA","","Calligraphic Form","http://emuseum.huntington.org/internal/media/dispatcher/27887/resize:format$003dfull","NA","NA","1958","sheet: 22 3/8 x 19 7/8","","watercolor on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist"
"","NA","","Calligraphic Form","http://emuseum.huntington.org/internal/media/dispatcher/27888/resize:format$003dfull","NA","NA","1958","sheet: 23 x 19 7/8","","watercolor on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist"
"","NA","","Calvario-Tehuacan","http://emuseum.huntington.org/internal/media/dispatcher/27913/resize:format$003dfull","1860","1935","ca. 1885-1932","12 3/8 x 9 3/4","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Canal at Lake Providence","http://emuseum.huntington.org/internal/media/dispatcher/18061/resize:format$003dfull","1840","1894","n.d.","5 1/8 x 10 3/4","","graphite and ink wash heightened with white on paper","","American","","Theodore Russell Davis","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Capilla Tercer Orden-Cuernavaca","http://emuseum.huntington.org/internal/media/dispatcher/27934/resize:format$003dfull","1860","1935","ca. 1885-1932","14 11/16 x 9 7/8","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Cardinal in his State Robe","http://emuseum.huntington.org/internal/media/dispatcher/18199/resize:format$003dfull","1811","1893","ca. 1840-1843","NA","","graphite and watercolor on paper","","American","","John William Casilear","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair"
"","NA","","Carey McWilliams Listening","http://emuseum.huntington.org/internal/media/dispatcher/31099/resize:format$003dfull","1908","1978","ca. 1955","sheet: 7 x 5 1/2","","ink, crayon, and gouache on paper","","American","","Don Freeman","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Carmel","http://emuseum.huntington.org/internal/media/dispatcher/17979/resize:format$003dfull","1852","1944","1933","9 1/8 x 12","","oil on board","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Castle of Coucy, December 30, 1907","http://emuseum.huntington.org/internal/media/dispatcher/20109/resize:format$003dfull","1846","1918","1907","5 7/16 x 7 1/4","","pen and ink wash on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Castle Ruins and Surroundings, September 28, 1890","http://emuseum.huntington.org/internal/media/dispatcher/20090/resize:format$003dfull","1846","1918","1890","4 3/4 x 6 11/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Castle Ruins on Hillside, September 11, 1890","http://emuseum.huntington.org/internal/media/dispatcher/20085/resize:format$003dfull","1846","1918","1890","4 3/4 x 6 13/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Castle, September 22, 1890","http://emuseum.huntington.org/internal/media/dispatcher/20088/resize:format$003dfull","1846","1918","1890","4 x 6 3/4","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Catedral-Quernavaca","http://emuseum.huntington.org/internal/media/dispatcher/27927/resize:format$003dfull","1860","1935","ca. 1885-1932","14 1/4 x 9 9/16","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Cathedral","http://emuseum.huntington.org/internal/media/dispatcher/16259/resize:format$003dfull","1853","1936","n.d.","9 3/4 x 13 3/8","","pen and black ink on board","","American","","Edwin James Meeker","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Cathedral Spires","http://emuseum.huntington.org/internal/media/dispatcher/28304/resize:format$003dfull","1833","1909","1871","9 x 6 1/4","","graphite heightened with Chinese white on paper","","American","","James David Smillie","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Chaperones to Hire","http://emuseum.huntington.org/internal/media/dispatcher/27995/resize:format$003dfull","NA","NA","n.d.","18 x 26 1/2","","ink on paper","","American","","Samuel D. Ehrhart","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Charging Steer","http://emuseum.huntington.org/internal/media/dispatcher/26359/resize:format$003dfull","1872","1945","n.d.","8 1/2 x 13","","wax on paper","","American","","Edward Borein","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Charles Lanman","http://emuseum.huntington.org/internal/media/dispatcher/16210/resize:format$003dfull","1816","1906","ca. 1840","7 x 5 1/2","","graphite on gray paper mounted on paper","","American","","Daniel Huntington","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Chateau de Belime pris Compiere, November 17, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20149/resize:format$003dfull","1846","1918","1910","6 1/4 x 8 3/8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Chateau of Marxburg","http://emuseum.huntington.org/internal/media/dispatcher/16200/resize:format$003dfull","1816","1872","1845","10 1/4 x 14 1/4","","graphite and ink on paper","","American","","John Frederick Kensett","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Checking the Tank","http://emuseum.huntington.org/internal/media/dispatcher/16118/resize:format$003dfull","1904","1984","n.d.","5 13/16 x 7 5/8","","watercolor and graphite on paper","","American","","Peter Hurd","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Chiddington Church in Kent","http://emuseum.huntington.org/internal/media/dispatcher/28497/resize:format$003dfull","1846","1918","1908","sheet: 4 13/16 x 7 7/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill"
"","NA","","Chief Pretty Eagle Crow","http://emuseum.huntington.org/internal/media/dispatcher/22336/resize:format$003dfull","1858","1949","1897","14 5/16 x 8 15/16","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
